kode_kabupaten_kota,nama_kabupaten_kota,tahun,jumlah_balita_stunting,persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_nakes_gizi
3201,KABUPATEN BOGOR,2018,7642,7.14,359787,73.96,71
3201,KABUPATEN BOGOR,2019,18752,6.66,373799,56,71
3201,KABUPATEN BOGOR,2020,34020,7.69,402877,62.4,63
3201,KABUPATEN BOGOR,2021,30844,8.13,418483,74.45,94
3201,KABUPATEN BOGOR,2022,18666,7.73,443787,68.6,107
3201,KABUPATEN BOGOR,2023,6231,7.27,482174,68.41,78
3201,KABUPATEN BOGOR,2024,7722,7.05,513512,"88,77",87
3212,KABUPATEN INDRAMAYU,2018,25558,11.89,447378,70.54,37
3212,KABUPATEN INDRAMAYU,2019,19458,11.11,458240,80,37
3212,KABUPATEN INDRAMAYU,2020,11166,12.7,474807,98.8,53
3212,KABUPATEN INDRAMAYU,2021,5208,13.04,481754,82.06,50
3212,KABUPATEN INDRAMAYU,2022,3797,12.77,499805,91.84,45
3212,KABUPATEN INDRAMAYU,2023,3440,12.13,532545,96,46
3212,KABUPATEN INDRAMAYU,2024,2488,11.93,560159,"97,96",50
3273,KOTA BANDUNG,2018,10048,3.57,448902,74.35,92
3273,KOTA BANDUNG,2019,8121,3.38,474448,64,92
3273,KOTA BANDUNG,2020,9508,3.99,500452,68,69
3273,KOTA BANDUNG,2021,6312,4.37,515396,78.49,83
3273,KOTA BANDUNG,2022,6614,4.25,545675,100,84
3273,KOTA BANDUNG,2023,4706,3.96,591124,100,79
3273,KOTA BANDUNG,2024,8172,3.87,614707,"69,46",86
3275,KOTA BEKASI,2018,8087,4.11,582723,98.72,41
3275,KOTA BEKASI,2019,11737,3.81,617718,99,41
3275,KOTA BEKASI,2020,13964,4.38,657953,81.1,32
3275,KOTA BEKASI,2021,9820,4.74,692885,99.3,42
3275,KOTA BEKASI,2022,4575,4.43,731392,93.03,28
3275,KOTA BEKASI,2023,2987,4.1,795965,96.29,51
3275,KOTA BEKASI,2024,3641,4.01,842927,"99,62",55
3276,KOTA DEPOK,2018,6751,2.14,615255,87.93,38
3276,KOTA DEPOK,2019,5241,2.07,644860,173,38
3276,KOTA DEPOK,2020,6425,2.45,688194,92,37
3276,KOTA DEPOK,2021,3726,2.58,705084,90.29,46
3276,KOTA DEPOK,2022,3637,2.53,744771,99.26,48
3276,KOTA DEPOK,2023,3283,2.38,804984,99.09,50
3276,KOTA DEPOK,2024,3377,2.34,843893,"99,46",50
