kode_kabupaten_kota,nama_kabupaten_kota,tahun,persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_nakes_gizi,jumlah_balita_stunting,Prediksi Random Forest,Prediksi Linear Regression
3201,KABUPATEN BOGOR,2018,7.14,359787,73.96,71,7642,13982.0,17288.0
3201,KABUPATEN BOGOR,2019,6.66,373799,56.0,71,18752,18737.0,18921.0
3201,KABUPATEN BOGOR,2020,7.69,402877,62.4,63,34020,29313.0,17552.0
3201,KABUPATEN BOGOR,2021,8.13,418483,74.45,94,30844,25704.0,13207.0
3201,KABUPATEN BOGOR,2022,7.73,443787,68.6,107,18666,20812.0,12103.0
3201,KABUPATEN BOGOR,2023,7.27,482174,68.41,78,6231,7096.0,13137.0
3201,KABUPATEN BOGOR,2024,7.05,513512,88.77,87,7722,7198.0,9183.0
3212,KABUPATEN INDRAMAYU,2018,11.89,447378,70.54,37,25558,23464.0,15991.0
3212,KABUPATEN INDRAMAYU,2019,11.11,458240,80.0,37,19458,17922.0,14778.0
3212,KABUPATEN INDRAMAYU,2020,12.7,474807,98.8,53,11166,8699.0,10491.0
3212,KABUPATEN INDRAMAYU,2021,13.04,481754,82.06,50,5208,5751.0,12242.0
3212,KABUPATEN INDRAMAYU,2022,12.77,499805,91.84,45,3797,4676.0,10994.0
3212,KABUPATEN INDRAMAYU,2023,12.13,532545,96.0,46,3440,4036.0,9504.0
3212,KABUPATEN INDRAMAYU,2024,11.93,560159,97.96,50,2488,3553.0,8089.0
3273,KOTA BANDUNG,2018,3.57,448902,74.35,92,10048,14605.0,13537.0
3273,KOTA BANDUNG,2019,3.38,474448,64.0,92,8121,10222.0,13856.0
3273,KOTA BANDUNG,2020,3.99,500452,68.0,69,9508,8281.0,14110.0
3273,KOTA BANDUNG,2021,4.37,515396,78.49,83,6312,6891.0,11271.0
3273,KOTA BANDUNG,2022,4.25,545675,100.0,84,6614,6199.0,7809.0
3273,KOTA BANDUNG,2023,3.96,591124,100.0,79,4706,5736.0,6708.0
3273,KOTA BANDUNG,2024,3.87,614707,69.46,86,8172,7781.0,8768.0
3275,KOTA BEKASI,2018,4.11,582723,98.72,41,8087,8403.0,9991.0
3275,KOTA BEKASI,2019,3.81,617718,99.0,41,11737,10150.0,8839.0
3275,KOTA BEKASI,2020,4.38,657953,81.1,32,13964,11900.0,9973.0
3275,KOTA BEKASI,2021,4.74,692885,99.3,42,9820,9082.0,5905.0
3275,KOTA BEKASI,2022,4.43,731392,93.03,28,4575,5588.0,6426.0
3275,KOTA BEKASI,2023,4.1,795965,96.29,51,2987,3075.0,2187.0
3275,KOTA BEKASI,2024,4.01,842927,99.62,55,3641,3686.0,-73.0
3276,KOTA DEPOK,2018,2.14,615255,87.93,38,6751,6786.0,10819.0
3276,KOTA DEPOK,2019,2.07,644860,173.0,38,5241,6483.0,412.0
3276,KOTA DEPOK,2020,2.45,688194,92.0,37,6425,6974.0,7861.0
3276,KOTA DEPOK,2021,2.58,705084,90.29,46,3726,4447.0,6751.0
3276,KOTA DEPOK,2022,2.53,744771,99.26,48,3637,3677.0,4259.0
3276,KOTA DEPOK,2023,2.38,804984,99.09,50,3283,3425.0,2100.0
3276,KOTA DEPOK,2024,2.34,843893,99.46,50,3377,3377.0,735.0
