kode_kabupaten_kota,nama_kabupaten_kota,tahun,persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_nakes_gizi,Prediksi Random Forest,Prediksi Linear Regression
3201,KABUPATEN BOGOR,2025,7.5228571428571485,530464.8571428657,81.14857142857454,96.71428571428532,8372.0,8580.0
3201,KABUPATEN BOGOR,2026,7.5582142857143,556137.5357142985,83.8432142857182,100.5,8250.0,7104.0
3201,KABUPATEN BOGOR,2027,7.593571428571451,581810.2142857239,86.53785714286187,104.28571428571468,8012.0,5627.0
3212,KABUPATEN INDRAMAYU,2025,12.542857142857144,566662.714285709,103.5,52.42857142857156,4858.0,6906.0
3212,KABUPATEN INDRAMAYU,2026,12.62250000000003,584946.6785714254,107.33214285714348,54.17857142857156,4904.0,5700.0
3212,KABUPATEN INDRAMAYU,2027,12.702142857142888,603230.6428571418,111.16428571428605,55.92857142857156,4840.0,4495.0
3273,KOTA BANDUNG,2025,4.244285714285695,638099.1428571343,91.94714285714417,79.42857142857201,6511.0,5879.0
3273,KOTA BANDUNG,2026,4.32714285714286,665813.0714285672,95.13750000000164,78.39285714285734,6432.0,4633.0
3273,KOTA BANDUNG,2027,4.409999999999997,693527.0,98.32785714286001,77.35714285714312,6558.0,3386.0
3275,KOTA BEKASI,2025,4.272857142857138,876015.4285714328,96.6100000000007,49.71428571428714,3330.0,-542.0
3275,KOTA BEKASI,2026,4.284642857142849,919249.1785714328,96.93892857142953,51.785714285716494,3341.0,-2222.0
3275,KOTA BEKASI,2027,4.296428571428564,962482.9285714328,97.26785714285825,53.857142857144936,3699.0,-3902.0
3276,KOTA DEPOK,2025,2.54142857142854,872825.7142857164,90.72285714284772,54.00000000000091,3815.0,351.0
3276,KOTA DEPOK,2026,2.5878571428571178,910780.6785714328,86.938214285703,56.535714285715585,4435.0,-737.0
3276,KOTA DEPOK,2027,2.6342857142856957,948735.6428571492,83.15357142855737,59.07142857143026,4633.0,-1826.0
